รหัสสินค้า,ชื่อสินค้า,ราคา (ดิบ)
5720,อุปกรณ์ช่วยพยุงข้อเท้า ANKLE No.XL 1 ชิ้น/กล่อง (THERMOSKIN),ราคา 0.00 บาท
5719,TIGERPLAST CLEAR พลาสเตอร์พลาสติกใส ปิดแผล จำนวน 10ชิ้นX10ซอง,ราคา 106.00 บาท
5718,CLENASCAR C Gel 15 g (BKD),ราคา 262.00 บาท
5717,TIGERPLAST CLEAR พลาสเตอร์พลาสติกใส ปิดแผล 25 ชิ้น/กล่อง,ราคา 0.00 บาท
5716,TIGERPLAST CARIFIX STRETCH (10cmX10m) 1 ม้วน/กล่อง,ราคา 285.00 บาท
5715,อุปกรณ์พยุงข้อเท้า ANKLE No.L 1 ชิ้น/กล่อง (THERMOSKIN),ราคา 0.00 บาท
5714,SUCTION CATHETERS สายดูดเสมหะ ชนิดมีคอนโทรล No.12 50 เส้น/ห่อ,ราคา 225.00 บาท
5713,ถุงมือยางสีส้ม ตราพอใจ Size S,ราคา 0.00 บาท
5712,ถุงยางอนามัย ฮันนีมูน 100 ชิ้น/กล่อง,ราคา 320.00 บาท
5711,ปลอกแขน OMRON 22-32 cm HEM-CR24,ราคา 450.00 บาท
5710,NIPRO SCALP VEIN SET No.23 50 ชิ้น/กล่อง,ราคา 255.00 บาท
5709,ปลอกแขน OMRON 22-42 cm HEM-RML31,ราคา 580.00 บาท
5708,KOOLFEVER REFRESHING MINT Children 6 แผ่น/กล่อง,ราคา 78.00 บาท
5707,เครื่องวัดความดัน TERUMO รุ่น W5200,"ราคา 2,180.00 บาท"
5706,ยาครีมสมุนไพร ตราทับทิมแก้ว 60 g (Nanomed),ราคา 155.00 บาท
5705,ยานวดสมุนไพร เฮื้อง เส่า เหย่า หัวใจทอง 25 ml,ราคา 80.00 บาท
5704,โกลด์ เรดดี้ พลัส 3 ml,ราคา 372.00 บาท
5703,TIGER BALM MOSQUITO PATCH 10 แผ่น/กล่อง,ราคา 94.00 บาท
5702,SALONPAS พลาสเตอร์บรรเทาปวด 40 ชิ้น/กล่อง,ราคา 117.00 บาท
5701,ตะขาบ 5 ตัว ยาขมเม็ด 3 โหล/กล่อง,ราคา 195.00 บาท
5700,ENPOTT 500 mg 500's,ราคา 465.00 บาท
5699,ยาอมผสมมะขามป้อม ตราแสงดาว 18 ซอง/กล่อง,ราคา 250.00 บาท
5698,น้ำมันมะพร้าวสกัดเย็น NENT 1000 ml,ราคา 455.00 บาท
5697,DIOXZYE 25X10's (TNP),ราคา 345.00 บาท
5696,ยาระบายแมกนีเซียสำหรับเด็ก 60 ml (วิทยาศรม),ราคา 12.00 บาท
5695,VISTRA IMU-PRO VITAMIN C 500 mg Lozenges 15's,ราคา 52.00 บาท
5694,MAXLEN 70 mg 1X4's (MEGA),ราคา 330.00 บาท
5693,DICLEGIS 10mg/10mg 2X10's (Exeltis),ราคา 320.00 บาท
5692,BLACKMORES BIO CALCIUM+D3 120's,ราคา 465.00 บาท
5691,AMARYL 3 mg 3X10's (SANOFI),ราคา 520.00 บาท
5690,LOCOA 40 mg TRANSDERMAL PATCH 70 แผ่น/กล่อง,"ราคา 4,500.00 บาท"
5689,ATOZET (10mg/20mg) 30's ORGANON,"ราคา 1,890.00 บาท"
5688,BLACKMORES CoQ10 30's PACK 2X30's,"ราคา 1,060.00 บาท"
5687,BLACKMORES KOALA MULTIVITAMIN+MINERAL 30's,ราคา 250.00 บาท
5686,BLACKMORES OMEGA DHA 60's,ราคา 725.00 บาท
5685,VISTRA BIO VITAMIN C 1000 mg 30's,ราคา 205.00 บาท
5684,STRATAMED ADVANCED FILM-FORMING WOUND DRESSING 10 g,ราคา 925.00 บาท
5683,STRATADERM SCAR THERAPY Gel 10 g,ราคา 785.00 บาท
5682,BLACKMORES CHOLES-BLOC 60's,ราคา 610.00 บาท
5681,VIMPAT 50 mg 56's,"ราคา 2,800.00 บาท"
5680,ANDROGEL 50 mg 30 ซอง/กล่อง,"ราคา 2,260.00 บาท"
5679,ATOZET (10mg/40mg) 30's ORGANON,"ราคา 1,990.00 บาท"
5678,HOTTA GINGER ขิง น้ำผึ้งมานูก้า 10 ซอง/ห่อ,ราคา 86.00 บาท
5677,ครีมบรรเทาปวด ตรามวย 12 ซอง/กล่อง,ราคา 122.00 บาท
5676,SAFEX LACTULOSE Solution 100 ml,ราคา 82.00 บาท
5675,SAND-M DIETOR DAY GUMMY ไดเตอร์เดย์ กัมมี่ กลิ่นแอปเปิ้ลไซเดอร์เวเนก้าร์ 6 ซอง/กล่อง,ราคา 255.00 บาท
5674,SAND-M JELLY ME KIDS VITAMIN C 12 ซอง/กล่อง,ราคา 235.00 บาท
5673,SAND-M JELLY ME KIDS CALCIUM L-THREONATE 12 ซอง/กล่อง,ราคา 235.00 บาท
5672,SAND-M G'nite XS GUMMY จีไนท์ เอ็กซ์เอส กัมมี่ กลิ่นพีช 6 ซอง/กล่อง,ราคา 175.00 บาท
5671,SAND-M DIETOR NIGHT GUMMY ไดเตอร์ไนท์ กัมมี่ กลิ่นโคล่าเลมอน 6 ซอง/กล่อง,ราคา 255.00 บาท
5670,SAND-M G'nite EXTRA GUMMY จีไนท์ เอ็กซ์ตร้า กัมมี่ กลิ่นแบล็กเคอร์แรนต์ 6 ซอง/กล่อง,ราคา 255.00 บาท
5669,CERAVE MOISTURISING Cream 177 ml,ราคา 362.00 บาท
5668,TESTOS 40 mg 3x10's (Nanomed),ราคา 350.00 บาท
5667,LUCINAR Cream 5 g (FRX),ราคา 42.00 บาท
5666,ยาน้ำแก้ไอ ตราขันตี 100 ml,ราคา 35.00 บาท
5665,BEROCCA IMMU D+ CD PLUS ZINC 15's กลิ่นส้ม (BAYER),ราคา 150.00 บาท
5664,ไม้เท้าค้ำยัน 54 นิ้ว No.XXL (Canton),ราคา 240.00 บาท
5663,ไม้เท้าค้ำยันอลูมิเนียม 50 นิ้ว 167-171cm No.L (Canton),ราคา 370.00 บาท
5662,ไม้เท้าค้ำยันอลูมิเนียม 52 นิ้ว 172-176cm No.XL (Canton),ราคา 370.00 บาท
5661,ไม้เท้าค้ำยันอลูมิเนียม 48 นิ้ว 160-166cm No.M (Canton),ราคา 370.00 บาท
5660,TYNOR B-02 No.L เฝือกคอมีรูระบายอากาศ,ราคา 265.00 บาท
5659,กระบอกตวง 1 ลิตร มีขีดบอก MN-1250 (2B),ราคา 240.00 บาท
5658,อภัยภูเบศร มัสคูล สเปรย์ MUSCOOL SPRAY,ราคา 84.00 บาท
5657,ALCOHOL HANDI-C 450 ml (Medicpharma),ราคา 100.00 บาท
5656,ยาหม่องน้ำตรางู กลิ่นคลาสสิค 12X5ml/โหล,ราคา 445.00 บาท
5655,RHINOPORE FIRST AID TAPE (1/2 inch x 5 yds),ราคา 142.00 บาท
5654,TIGER BALM MUSCLE RUB 30 g,ราคา 54.00 บาท
5653,MASK หน้ากากผ้า GQ สำหรับผู้ใหญ่ 1 ชิ้น/ห่อ,ราคา 135.00 บาท
5652,BISMUSALATE 524 mg (25X10's),ราคา 620.00 บาท
5650,PANTOPRAZOLE 40 mg 14's (TO),ราคา 325.00 บาท
5649,HUMULIN NPH (100 IU/ml) 10 ml Lilly,ราคา 356.00 บาท
5648,ยาบำรุงร่างกาย ตราพญานาค 100 ml,ราคา 13.00 บาท
5644,CLINOVIR Cream 5 g (BKD),ราคา 420.00 บาท
5643,FEITAS DICLOFENAC PATCH (7แผ่นX5ซอง),ราคา 930.00 บาท
5642,CARBOSOL Syrup 60 ml (SEVEN STARS),ราคา 24.00 บาท
5641,FLOWAMED 1500 mg Powder กลิ่นส้ม 30 ซอง/กล่อง (Millimed),ราคา 290.00 บาท
5640,CAVILON DURABLE BARRIER Cream 92 g (3M),ราคา 575.00 บาท
5639,UMBILI GENTLE OIL Serum 12 ml (อัมบิลี่),ราคา 100.00 บาท
5638,UMBILI GENTLE OIL G6PD Serum 10 ml (อัมบิลี่),ราคา 100.00 บาท
5637,CERAVE MOISTURISING Lotion 236 ml,ราคา 459.00 บาท
5636,ชุดนวดสมุนไพร ตราเฌอเอม,ราคา 192.00 บาท
5635,UMBILI AIR AROMATHERAPY Spray 100 ml (อัมบิลี่),ราคา 100.00 บาท
5634,UMBILI ยาดม ตราฉุนฉุน 6 ชิ้น/แผง (อัมบิลี่),ราคา 162.00 บาท
5633,อภัยภูเบศร ครีมบัวบก 10 g,ราคา 25.00 บาท
5632,GINK CHOLINE PLUS 30's,ราคา 175.00 บาท
5631,MEGA PRODEFENZ 30 Sachets,ราคา 735.00 บาท
5630,HIMALAYA UNDER EYE Cream 15 ml,ราคา 110.00 บาท
5629,ซองยาใส ขนาด 20x30 ซม. (1 กิโลกรัม),ราคา 108.00 บาท
5628,หลอดหยดยา จุกส้ม,ราคา 33.00 บาท
5627,GLUCOCHEK EASY PRO TEST STRIPS แผ่นตรวจน้ำตาล 50 ชิ้น/กล่อง,ราคา 645.00 บาท
5626,TYNOR J-03 UNI พยุงข้อมือมีแกน,ราคา 260.00 บาท
5625,CERAVE SA SMOOTHING CLEANSER 88 ml,ราคา 196.00 บาท
5624,SMOOTH E NEW SKIN LIQUID PLASTER 4 ml,ราคา 68.00 บาท
5623,SUDOCREM MOISTURIZING Cream 125 g (TEVA),ราคา 275.00 บาท
