รหัสสินค้า,ชื่อสินค้า,ราคา
1190723,GAVISCON DUAL 24x10ML (PINK)(ซอง),604.00
1190724,GAVISCON DUAL TABLETS 2x8'S (PINK) (แผง),197.00
1190725,GAVISCON LIQUID 150ML (GREEN) (น้ำ),254.00
1190726,GAVISCON SUSPENSION MINT 12x10ML (GREEN) (ซอง),265.00
1190728,GLUCOLIN 400G,136.00
1190729,KY JELLY 42G (S),151.00
1190730,KY JELLY 82G (L),215.00
1190733,NUROFEN SYRUP 60ML (ORANGE),123.00
1190735,NUROFEN ZAVANCE 400MG 1x10'S,137.00
1190738,SENOKOT 3x20'S,151.00
1190739,STREPSILS CHESTY COUGH 12x24'S,95.00
1190740,STREPSILS CHESTY COUGH 24x8'S,1215.00
1190741,STREPSILS COOL 12x24'S (BLUE),87.00
1190742,STREPSILS COOL 24x8'S (BLUE),612.00
1190745,STREPSILS HONEY LEMON 12x24'S (YELLOW),85.00
1190746,STREPSILS HONEY LEMON 24x8'S (YELLOW),612.00
1190747,STREPSILS MAXIPLUZZ 12x16'S,102.00
1190748,STREPSILS MAXIPLUZZ 24x6'S,1290.00
1190749,STREPSILS MAXPRO DIRECT SPRAY 15ML,192.00
1190750,STREPSILS MAXPRO HONEY LEMON 16'S,131.00
1190751,STREPSILS MAXPRO HONEY LEMON 24x8'S,1695.00
1190752,STREPSILS ORANGE VIT-C 12x24'S,85.00
1190753,STREPSILS ORANGE VIT-C 24x8'S,612.00
1190754,STREPSILS ORIGINAL 12x24'S (RED),85.00
1190755,STREPSILS ORIGINAL HHR 24x8'S (RED),612.00
1190756,STREPSILS SF CITRUS LEMON 12x16'S,87.00
1190757,STREPSILS SF CITRUS LEMON 24x6'S,612.00
1190758,STREPSILS THROAT IRR 24'S,93.50
1190759,STREPSILS THROAT IRR 24x8'S,1195.00
1190761,VEET 25G (ครีมกำจัดขน) (BLUE),114.00
1190762,VEET 25G (ครีมกำจัดขน) (PINK),114.00
1190764,RENU FRESH 120ML,71.00
1190766,RENU FRESH 60ML,51.00
1190767,RENU LUBRICATING 8ML,94.00
1190769,VIDISIC GEL 10G,128.00
1190770,VIVIDRIN EYE DROPS 10ML (หยอดตา),129.00
1190771,MADOPAR 250MG 100'S,1225.00
1190772,MADOPAR HBS 125MG 100'S,860.00
1190777,ARTROFORT COMPLEX 30'S,664.00
1190785,ELIDEL CREAM 15G,760.00
1190786,LEGALON 140MG 4x10'S,658.00
1190790,REPARIL GEL-N 10G,64.00
1190791,REPARIL GEL-N 20G,102.00
1190792,REPARIL GEL-N 40G,197.00
1190794,REPARIL TAB 20MG 10x10'S,509.00
1190795,SAUGELLA ATTIVA 100ML (GREEN),111.00
1190796,SAUGELLA DERMOLIQUID 100ML (BLUE),88.00
1190797,SAUGELLA POLIGYN 100ML (PINK),128.00
1190798,URALYT-U 280G,510.00
1190799,VIARTRIL-S 1500MG 30'S (POWDER),1090.00
1190800,VIARTRIL-S 500MG 90'S,990.00
1190804,DERMATOP CREAM 15G,97.00
1190805,DERMATOP CREAM 5G,52.50
1190806,ESPERSON CREAM 0.25% 15G,93.00
1190807,ESPERSON CREAM 0.25% 5G,40.00
1190810,TOPICORTE 0.25% 15G (L),122.00
1190811,TOPICORTE 0.25% 5G (S),55.00
